wavelength,flux,flux_error
1.9675021,5.4515497e-17,2.4274287e-17
1.9697884,9.973848e-17,2.6169142e-17
1.9720727,1.3930914e-16,2.6584673e-17
1.974355,9.3509645e-17,2.3729114e-17
1.9766351,9.3747793e-17,2.1666052e-17
1.9789132,1.3399426e-16,2.1160665e-17
1.9811891,1.1564316e-16,1.9628142e-17
1.983463,1.09165136e-16,1.5574218e-17
1.9857349,1.2946494e-16,1.4504169e-17
1.9880048,9.85197e-17,1.3397739e-17
1.9902726,1.1243363e-16,1.26942636e-17
1.9925383,1.2368353e-16,1.3399092e-17
1.9948021,1.257396e-16,1.7269417e-17
1.9970638,1.5092471e-16,2.5778561e-17
1.9993234,1.7029306e-16,3.2694148e-17
2.001581,1.2992211e-16,3.9203934e-17
2.0038366,1.4405769e-16,4.4174664e-17
2.0060904,8.671966e-17,4.1198723e-17
2.008342,1.331082e-16,3.15899e-17
2.0105915,1.6443942e-16,3.095039e-17
2.0128393,1.6482568e-16,3.051024e-17
2.015085,1.7605747e-16,2.8353114e-17
2.0173285,2.132966e-16,2.968e-17
2.0195704,1.9967163e-16,2.641295e-17
2.02181,1.8880501e-16,2.5315982e-17
2.0240476,2.2365373e-16,2.7904332e-17
2.0262835,2.1598644e-16,2.5089632e-17
2.0285172,2.2822363e-16,2.5213992e-17
2.030749,2.4175122e-16,2.587939e-17
2.032979,2.3352558e-16,2.2214728e-17
2.0352068,2.6016577e-16,2.2614011e-17
2.037433,2.4505656e-16,2.482981e-17
2.0396569,2.617366e-16,2.4521877e-17
2.041879,2.5703474e-16,2.3675262e-17
2.044099,2.5636217e-16,2.2875867e-17
2.0463173,2.7921877e-16,2.3319725e-17
2.0485334,2.806373e-16,2.3383458e-17
2.0507479,2.7462775e-16,2.4599233e-17
2.0529602,3.1759312e-16,2.9917703e-17
2.0551705,3.0317668e-16,3.0732248e-17
2.057379,2.851952e-16,2.879021e-17
2.0595856,3.514077e-16,3.0441656e-17
2.0617902,3.22324e-16,2.8396866e-17
2.063993,3.2649827e-16,2.4155773e-17
2.0661938,3.3171475e-16,2.4128164e-17
2.0683925,2.9898124e-16,2.4025147e-17
2.0705895,3.1934545e-16,2.577376e-17
2.0727844,3.2303523e-16,2.4352847e-17
2.0749776,3.3151025e-16,2.546391e-17
2.0771687,3.4200033e-16,2.3399059e-17
2.0793579,3.4505576e-16,2.3387703e-17
2.081545,3.2553488e-16,2.018244e-17
2.0837305,3.1223935e-16,2.0869143e-17
2.085914,3.3452124e-16,2.174649e-17
2.0880954,3.4147085e-16,2.3474416e-17
2.090275,3.410228e-16,2.2261093e-17
2.0924528,3.382159e-16,2.2289652e-17
2.0946283,2.9278546e-16,1.8488425e-17
2.0968022,3.3905387e-16,2.2824352e-17
2.098974,2.9983193e-16,1.7224198e-17
2.1011438,3.0621416e-16,2.0176858e-17
2.1033118,3.3569898e-16,2.133488e-17
2.1054778,3.0592329e-16,2.2018324e-17
2.107642,3.070842e-16,2.2746658e-17
2.1098042,2.954093e-16,2.2750307e-17
2.1119645,2.6918175e-16,2.1128066e-17
2.1141226,2.9357108e-16,2.3697851e-17
2.116279,2.7307291e-16,2.034298e-17
2.1184332,2.2638454e-16,1.8379596e-17
2.1205857,2.5256548e-16,2.0842974e-17
2.1227362,2.5350312e-16,2.1212516e-17
2.1248848,2.0335028e-16,1.75062e-17
2.1270313,2.5674132e-16,2.0633066e-17
2.129176,2.1922082e-16,1.8516976e-17
2.1313186,2.2461085e-16,1.8196142e-17
